,Names,bmb,bml,bmg,A,ismr,bmb_nf
47,West,29.97713579999301,30.331226991495033,-0.35409119150202173,16.5758774991124,1.7643703114903388,20.491239215351353
48,Publications,1.4172252334894744,1.4703180531633335,-0.05309281967385915,2.000167511714367,0.6912714841542856,0.9123505034358055
49,Amery,10.6072400220665,20.48057527819902,-9.873335256132519,60.47835916284136,0.17111123704485107,8.414924838436699
50,Wilma/Robert/Downer,0.7798189863607677,0.784531194596262,-0.004712208235494231,1.0683301922624069,0.7121384536297051,0.43952768129359066
51,Edward VIII,0.4536761212544307,0.4589383942512059,-0.00526227299677523,0.6334556133863103,0.6987243315095518,0.2786596005885315
52,Rayner/Thyer,4.139863594167496,4.181028312833682,-0.04116471866618632,3.2744041729483815,1.2334736636211199,1.2015629114788935
53,Shirase,1.0495357375727117,1.0495357375727117,0.0,0.8366563937638072,1.2238444749614261,0.8775008597546118
54,Prince Harald,7.295971457992014,7.295971457992014,0.0,5.645770305680863,1.2607705502053619,4.695264250508445
55,Baudouin [9],26.612347182667577,26.712609232277313,-0.10026204960973573,34.26375462577365,0.7577472412943331,21.534339179263846
56,Borchgrevink,24.15886275895864,24.205629397294956,-0.046766638336315225,14.466849130013966,1.629216009100617,18.715615569296276
57,Lazarev,15.422526473652518,15.92365261730339,-0.5011261436508718,15.702730161032209,0.9582007165038904,12.803001774004295
58,Nivl,3.7786724066180715,5.547538116744248,-1.7688657101261769,7.896456981186471,0.4668561702769296,2.236366082778487
59,Vigrid,3.0394353519308,3.0707301671945464,-0.03129481526374622,2.4993054085023534,1.1864507523905998,2.106390308431692
60,Fimbul,21.89445725079725,22.257984943039716,-0.3635276922424673,17.217383594093096,1.2406325259354203,17.157681573912086
61,Jelbart,66.82976335018294,67.52534969172322,-0.6955863415402774,35.837641994754705,1.8193096837027538,57.699840218804695
62,Atka [8],3.2463272778602987,3.2791227221206087,-0.03279544426031,2.204175211459364,1.436886027617199,2.3897621988115403
63,Ekstrom,7.9240636218794105,8.37447626728126,-0.45041264540184933,6.913481489166911,1.1182200732810386,6.318334857814872
64,Quar,4.561140069817575,4.5908020780756305,-0.02966200825805565,2.4500440712808125,1.816250084315937,3.214759666791461
65,Riiser-Larsen,53.449940623164544,55.66500436320046,-2.215063740035916,52.10051011562575,1.000878559904065,45.25549224455084
66,Brunt/Stancomb,28.638422738508062,28.70082701052284,-0.06240427201477772,29.04238873515038,0.9620394822798666,21.477969129736415
67,Filchner,4.792801166219967,11.664100447346554,-6.8712992811265865,85.01902858704074,0.054998318076674726,3.7649612878880725
68,Sorsdal,0.5160075743936944,0.5234641310925647,-0.0074565566988703536,0.34428405032103654,1.4622287129749327,0.20955543826995007
69,Vostok,0.13370093926066656,1.3103043399181549,-1.1766034006574884,15.433818822971428,0.008451566150819987,0.13370093926066656
